entity_en,nid,link,title,date
Boston,1534,https://whdh.com/news/9-people-screened-for-deadly-coronavirus-at-bostons-logan-international-airport/,9 people screened for deadly coronavirus at Boston's Logan ...,2020-01-23 00:00:00
Logan,1534,https://whdh.com/news/9-people-screened-for-deadly-coronavirus-at-bostons-logan-international-airport/,9 people screened for deadly coronavirus at Boston's Logan ...,2020-01-23 00:00:00
Vietnam,1535,https://www.reuters.com/article/us-vietnam-health/vietnam-says-two-chinese-citizens-in-vietnam-confirmed-to-have-coronavirus-idUSKBN1ZM24I,Vietnam says two Chinese citizens in Vietnam confirmed to ...,2020-01-23 00:00:00
China,1536,https://www.cnbc.com/2020/01/24/trump-thanks-chinas-xi-jinping-for-handling-of-coronavirus.html,Trump thanks China's Xi Jinping for handling of coronavirus,2020-01-24 00:00:00
Coronavirus,1537,https://www.reuters.com/article/us-china-health-usa-masks/coronavirus-worries-have-surgical-masks-flying-off-shelves-in-new-yorks-chinatown-idUSKBN1ZN2H4,Coronavirus worries have surgical masks flying off shelves in ...,2020-01-24 00:00:00
Canada,1538,https://globalnews.ca/news/6456196/coronavirus-canada-medical-officer/,Mass quarantines won't happen in Canada if coronavirus is ...,2020-01-24 00:00:00
Thailand,1541,https://www.bangkokpost.com/thailand/general/1842939/fifth-coronavirus-case-in-thailand,Fifth coronavirus case in Thailand,2020-01-24 00:00:00
Wuhan,1542,https://www.straitstimes.com/asia/south-asia/wuhan-virus-nepal-confirms-first-case-of-new-coronavirus,Wuhan virus: Nepal confirms first case of new coronavirus,2020-01-24 00:00:00
McDonald,1543,https://www.cnn.com/2020/01/24/business/mcdonalds-coronavirus-closures/index.html,McDonald's closes restaurants in five Chinese cities because ...,2020-01-24 00:00:00
HUNDREDS,1544,https://www.dailymail.co.uk/news/article-7929977/Health-officials-scramble-passengers-coronavirus-flights.html,Health officials scramble to track HUNDREDS of airline ...,2020-01-26 01:01:07
China,1546,https://www.nytimes.com/2020/01/23/health/coronavirus-surgical-masks.html,"Many in China Wear Them, but Do Masks Block Coronavirus?",2020-01-23 00:00:00
Wuhan,1547,https://www.espn.com/boxing/story/_/id/28549415/jose-ramirez-viktor-postol-bout-postponed-due-wuhan-coronavirus,"Jose Ramirez, Viktor Postol bout postponed due to Wuhan ...",2020-01-23 00:00:00
Viktor Postol,1547,https://www.espn.com/boxing/story/_/id/28549415/jose-ramirez-viktor-postol-bout-postponed-due-wuhan-coronavirus,"Jose Ramirez, Viktor Postol bout postponed due to Wuhan ...",2020-01-23 00:00:00
Jose Ramirez,1547,https://www.espn.com/boxing/story/_/id/28549415/jose-ramirez-viktor-postol-bout-postponed-due-wuhan-coronavirus,"Jose Ramirez, Viktor Postol bout postponed due to Wuhan ...",2020-01-23 00:00:00
Coronavirus,1548,https://www.cnet.com/news/coronavirus-leads-to-sales-spike-of-plague-inc-a-game-about-pandemics/,"Coronavirus leads to sales spike of Plague Inc., a game about ...",2020-01-24 00:00:00
Plague Inc.,1548,https://www.cnet.com/news/coronavirus-leads-to-sales-spike-of-plague-inc-a-game-about-pandemics/,"Coronavirus leads to sales spike of Plague Inc., a game about ...",2020-01-24 00:00:00
Mexico,1550,https://www.bloomberg.com/news/articles/2020-01-22/mexican-authorities-are-investigating-possible-coronavius-case,Man in Mexico Now Ill After Visiting Coronavirus Ground Zero,2020-01-22 00:00:00
New York,1551,https://www.ny1.com/nyc/all-boroughs/news/2020/01/24/new-york-coronavirus-latest,Three Patients Under Observation in New York for Possibly ...,2020-01-24 00:00:00
Wesleyan University Student Being Monitored For Coronavirus,1553,https://boston.cbslocal.com/2020/01/25/wesleyan-university-student-monitored-for-coronavirus/,Wesleyan University Student Being Monitored For Coronavirus,2020-01-26 01:01:07
Wuhan,1554,https://www.thejakartapost.com/news/2020/01/24/indonesia-cancels-all-wuhan-flights-in-wake-of-coronavirus-outbreak.html,Indonesia cancels all Wuhan flights in wake of coronavirus ...,2020-01-23 00:00:00
Indonesia,1554,https://www.thejakartapost.com/news/2020/01/24/indonesia-cancels-all-wuhan-flights-in-wake-of-coronavirus-outbreak.html,Indonesia cancels all Wuhan flights in wake of coronavirus ...,2020-01-23 00:00:00
EU,1555,https://www.euronews.com/2020/01/21/coronavirus-is-the-eu-prepared-for-an-outbreak,"Coronavirus: How is the EU preparing for an outbreak, and ...",2020-01-22 00:00:00
Taobao,1558,https://www.bbc.com/news/business-51202519,Coronavirus: Taobao warns firms not to profit from outbreak,2020-01-23 00:00:00
Colorado,1559,https://www.cpr.org/2020/01/24/colorado-has-its-first-potential-case-of-the-wuhan-coronavirus-cdphe-says/,Colorado Has Its First Potential Case of The Wuhan Coronavirus,2020-01-24 00:00:00
Detroit,1560,https://www.fox2detroit.com/news/three-possible-coronavirus-cases-may-be-in-metro-detroit-area,Three possible coronavirus cases may be in metro Detroit area,2020-01-24 00:00:00
University of Wisconsin,1561,https://www.channel3000.com/university-of-wisconsin-monitoring-growing-concerns-for-coronavirus-no-confirmed-cases-on-campus/,University of Wisconsin monitoring growing concerns for ...,2020-01-24 00:00:00
Palawan,1562,http://cnnphilippines.com/regional/2020/1/25/palawan-novel-coronavirus-monitoring.html,2 patients under coronavirus watch at Palawan hospital,2020-01-24 00:00:00
coronavirus watch,1562,http://cnnphilippines.com/regional/2020/1/25/palawan-novel-coronavirus-monitoring.html,2 patients under coronavirus watch at Palawan hospital,2020-01-24 00:00:00
Wuhan,1564,https://www.businessinsider.com/wuhan-hospital-staff-adult-diapers-while-treating-coronavirus-patients-2020-1,Hospital staff in Wuhan are wearing adult diapers because ...,2020-01-24 00:00:00
Coronavirus,1565,https://www.livemint.com/companies/news/coronavirus-outbreak-airasia-cancels-all-flights-to-and-from-wuhan-11579837279828.html,Coronavirus outbreak: AirAsia cancels all flights to and from ...,2020-01-23 00:00:00
China,1566,https://www.sciencedaily.com/releases/2020/01/200123170723.htm,Novel Coronavirus that recently emerged in China,2020-01-23 00:00:00
